Instance,Location,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
324,TEX,True,105,105,1.0,105,77402.25,253.0,10.68,4.35
325,TEX,True,91,91,1.0,91,73160.0,243.0,4.13,3.57
326,TEX,True,104,104,1.0,104,91174.75,293.25,7.33,5.1
327,TEX,True,113,113,1.0,113,123406.75,312.25,5.64,3.1
328,TEX,True,101,101,1.0,101,110432.5,289.75,7.52,6.31
329,TEX,True,111,111,1.0,111,98825.5,248.5,7.74,5.51
330,TEX,True,94,94,1.0,94,84279.5,277.5,11.49,1.77
331,TEX,True,123,123,1.0,123,116428.25,359.0,5.67,0.14
332,TEX,True,109,109,1.0,109,83806.0,261.5,11.15,2.88
333,TEX,True,116,116,1.0,116,113649.75,338.0,10.39,0.22
334,TEX,True,80,80,1.0,80,91441.0,279.0,7.57,3.79
335,TEX,True,90,90,1.0,90,91484.25,294.75,3.88,1.59
336,TEX,True,91,91,1.0,91,71470.75,264.75,17.35,3.02
337,TEX,True,101,101,1.0,101,79806.25,304.0,12.59,3.42
338,TEX,True,109,109,1.0,109,83986.5,321.0,16.52,1.31
339,TEX,True,84,84,1.0,84,80851.0,315.5,2.15,1.41
340,TEX,True,102,102,1.0,102,74229.25,267.5,5.59,4.46
341,TEX,True,99,99,1.0,99,78650.5,290.0,5.11,3.09
342,TEX,True,122,122,1.0,122,110128.75,339.25,10.0,3.0
343,TEX,True,116,116,1.0,116,91768.0,274.75,8.89,2.74
344,TEX,True,93,93,1.0,93,77068.0,233.0,10.32,4.9
345,TEX,True,112,112,1.0,112,62731.5,227.5,9.92,6.76
346,TEX,True,105,105,1.0,105,66419.5,248.5,5.99,3.21
347,TEX,True,104,104,1.0,104,61410.25,232.0,7.41,3.73
348,TEX,True,101,101,1.0,101,51832.25,192.25,8.24,5.99
349,TEX,True,95,95,1.0,95,47646.0,184.0,8.99,5.03
350,TEX,True,101,101,1.0,101,64941.75,240.0,5.66,4.29
351,TEX,True,110,110,1.0,110,74039.5,296.5,5.31,3.73
352,TEX,True,106,106,1.0,106,63646.5,259.75,3.57,3.17
353,TEX,True,118,118,1.0,118,65021.0,260.25,5.88,2.35
354,TEX,True,90,90,1.0,90,106941.5,299.25,4.07,3.55
355,TEX,True,114,114,1.0,114,104280.0,270.75,7.23,2.08
356,TEX,True,104,104,1.0,104,82281.25,218.75,6.12,3.53
357,TEX,True,94,94,1.0,94,112951.25,297.75,6.13,3.09
