Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
127,True,110,110,1.0,110,39624.75,220.75,24.96,0.0
127,True,165,110,1.5,165,39635.75,216.0,24.94,2.15
127,True,220,110,2.0,215,37877.25,229.25,28.27,-3.85
128,True,103,103,1.0,103,21032.75,141.5,43.29,4.71
128,True,155,103,1.5,111,23413.25,142.5,36.88,4.04
128,True,206,103,2.0,193,24581.0,142.5,33.73,4.04
129,True,96,96,1.0,96,39876.0,209.0,33.5,2.11
129,True,144,96,1.5,140,40293.0,204.0,32.81,4.45
129,True,192,96,2.0,192,37776.75,219.75,37.0,-2.93
130,True,113,113,1.0,113,42582.0,226.25,27.23,0.88
130,True,170,113,1.5,170,44059.5,223.5,24.7,2.08
130,True,226,113,2.0,224,44973.0,230.5,23.14,-0.99
131,True,100,100,1.0,100,28418.25,171.25,21.93,-0.74
131,True,150,100,1.5,150,29315.5,166.0,19.47,2.35
131,True,200,100,2.0,195,28271.0,173.0,22.33,-1.76
132,True,105,105,1.0,105,35305.75,194.0,32.64,5.6
132,True,158,105,1.5,158,37763.0,194.25,27.95,5.47
132,True,210,105,2.0,188,37085.5,196.25,29.24,4.5
133,True,95,95,1.0,95,31865.25,180.25,22.25,2.7
133,True,143,95,1.5,128,33846.75,181.5,17.42,2.02
133,True,190,95,2.0,190,30096.5,183.25,26.57,1.08
134,True,98,98,1.0,98,40701.75,216.75,22.03,0.8
134,True,147,98,1.5,147,41430.75,210.25,20.64,3.78
134,True,196,98,2.0,194,40480.75,219.5,22.46,-0.46
135,True,102,102,1.0,102,49558.0,254.75,13.76,2.58
135,True,153,102,1.5,110,50394.75,256.25,12.31,2.01
135,True,204,102,2.0,190,53095.5,258.75,7.61,1.05
136,True,110,110,1.0,110,33669.0,176.0,17.58,0.85
136,True,165,110,1.5,165,34192.5,170.0,16.3,4.23
136,True,220,110,2.0,213,38415.75,170.25,5.96,4.08
137,True,112,112,1.0,112,37824.5,205.0,18.64,1.44
137,True,168,112,1.5,168,38551.5,203.25,17.08,2.28
137,True,224,112,2.0,222,41517.0,195.25,10.7,6.13
138,True,104,104,1.0,104,36204.0,176.25,29.44,3.56
138,True,156,104,1.5,156,39470.25,180.25,23.07,1.37
138,True,208,104,2.0,208,36720.75,177.5,28.43,2.87
139,True,104,104,1.0,104,52836.0,236.75,20.61,4.34
139,True,156,104,1.5,156,53789.0,235.5,19.17,4.85
139,True,208,104,2.0,199,49244.25,244.0,26.0,1.41
140,True,81,81,1.0,81,62195.25,225.0,10.87,5.86
140,True,122,81,1.5,122,49098.5,222.0,29.64,7.11
140,True,162,81,2.0,162,49204.5,224.0,29.49,6.28
