Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
106,True,108,108,1.0,108,20730.5,352.0,4.28,1.54
106,True,162,108,1.5,160,21695.0,338.0,-0.17,5.45
106,True,216,108,2.0,216,20730.0,328.0,4.28,8.25
107,True,98,98,1.0,98,18715.0,288.5,2.33,1.2
107,True,147,98,1.5,147,16440.0,276.75,14.2,5.22
107,True,196,98,2.0,196,17507.0,269.5,8.63,7.71
108,True,104,104,1.0,104,23159.25,225.0,16.07,2.17
108,True,156,104,1.5,156,15085.75,210.25,45.33,8.59
108,True,208,104,2.0,208,15278.5,205.5,44.63,10.65
109,True,103,103,1.0,103,27585.5,303.25,3.26,1.38
109,True,155,103,1.5,155,20051.0,289.0,29.68,6.02
109,True,206,103,2.0,206,19232.25,279.5,32.55,9.11
110,True,108,108,1.0,108,26845.0,264.0,7.92,0.56
110,True,162,108,1.5,162,17676.75,245.25,39.37,7.63
110,True,216,108,2.0,216,18494.0,239.5,36.57,9.79
111,True,108,108,1.0,108,30369.5,274.5,-0.36,1.52
111,True,162,108,1.5,162,22698.0,264.5,24.99,5.11
111,True,216,108,2.0,216,22461.5,255.0,25.77,8.52
112,True,98,98,1.0,98,36907.0,290.75,0.82,2.43
112,True,147,98,1.5,147,23531.5,279.25,36.77,6.29
112,True,196,98,2.0,196,25826.0,268.0,30.6,10.07
113,True,89,89,1.0,89,32564.75,290.75,2.05,2.43
113,True,134,89,1.5,134,20926.0,279.0,37.06,6.38
113,True,178,89,2.0,178,23255.25,272.25,30.05,8.64
114,True,95,95,1.0,95,33937.25,265.5,-0.6,2.21
114,True,143,95,1.5,143,19342.5,250.5,42.66,7.73
114,True,190,95,2.0,190,16189.25,240.75,52.01,11.33
115,True,105,105,1.0,105,21910.5,231.25,25.3,5.13
115,True,158,105,1.5,158,16544.75,219.25,43.59,10.05
115,True,210,105,2.0,210,15022.5,214.0,48.78,12.21
116,True,98,98,1.0,98,25338.5,223.5,-7.43,8.5
116,True,147,98,1.5,147,15466.75,214.5,34.43,12.18
116,True,196,98,2.0,196,14207.25,209.75,39.77,14.12
117,True,135,135,1.0,135,26398.0,377.75,3.87,3.08
117,True,203,135,1.5,203,41062.5,359.25,-49.54,7.83
117,True,270,135,2.0,270,30235.0,355.75,-10.11,8.72
118,True,109,109,1.0,109,12054.0,214.75,8.91,4.13
118,True,164,109,1.5,163,14403.75,203.25,-8.85,9.26
118,True,218,109,2.0,218,15202.75,199.0,-14.89,11.16
119,True,116,116,1.0,116,16447.5,280.0,9.13,9.31
119,True,174,116,1.5,174,19501.0,267.0,-7.74,13.52
119,True,232,116,2.0,232,22371.0,262.5,-23.59,14.98
120,True,99,99,1.0,99,63408.5,260.25,5.09,5.71
120,True,149,99,1.5,149,42937.5,247.75,35.73,10.24
120,True,198,99,2.0,198,35932.5,243.25,46.22,11.87
121,True,95,95,1.0,95,68213.5,236.0,3.36,1.67
121,True,143,95,1.5,143,33606.0,223.0,52.39,7.08
121,True,190,95,2.0,190,33916.75,214.25,51.95,10.73
122,True,96,96,1.0,96,55899.5,214.5,10.26,5.61
122,True,144,96,1.5,144,33492.5,202.75,46.23,10.78
122,True,192,96,2.0,192,31043.0,197.5,50.16,13.09
123,True,116,116,1.0,116,42853.25,274.25,5.92,1.88
123,True,174,116,1.5,173,47996.5,264.25,-5.37,5.46
123,True,232,116,2.0,232,28824.25,259.25,36.72,7.25
124,True,85,85,1.0,85,67201.25,299.5,-3.05,2.04
124,True,128,85,1.5,127,44110.0,291.75,32.36,4.58
124,True,170,85,2.0,169,44996.25,283.75,31.0,7.2
125,True,103,103,1.0,103,43996.25,255.25,21.33,8.51
125,True,155,103,1.5,152,46125.0,241.5,17.52,13.44
125,True,206,103,2.0,206,34633.25,235.5,38.07,15.59
126,True,114,114,1.0,114,62379.0,305.75,11.71,2.78
126,True,171,114,1.5,171,26467.0,295.0,62.54,6.2
126,True,228,114,2.0,228,24587.75,283.25,65.2,9.94
127,True,115,115,1.0,115,70778.25,327.5,5.47,3.89
127,True,173,115,1.5,172,27090.25,325.5,63.82,4.48
127,True,230,115,2.0,230,29645.5,311.0,60.4,8.73
128,True,112,112,1.0,112,50664.25,267.75,11.45,6.05
128,True,168,112,1.5,168,34949.0,257.0,38.91,9.82
128,True,224,112,2.0,224,23307.0,252.75,59.26,11.32
129,True,99,99,1.0,99,37422.25,387.5,12.81,1.4
129,True,149,99,1.5,149,31053.75,375.5,27.65,4.45
129,True,198,99,2.0,198,34691.0,363.75,19.18,7.44
130,True,100,100,1.0,100,34084.5,334.0,11.53,2.34
130,True,150,100,1.5,150,31600.0,316.0,17.98,7.6
130,True,200,100,2.0,200,29860.5,307.0,22.49,10.23
131,True,103,103,1.0,103,24971.0,242.5,11.08,3.58
131,True,155,103,1.5,155,18642.5,233.5,33.62,7.16
131,True,206,103,2.0,206,19700.75,228.75,29.85,9.05
132,True,117,117,1.0,117,37694.75,363.75,9.55,2.35
132,True,176,117,1.5,168,32625.0,353.0,21.71,5.23
132,True,234,117,2.0,234,34630.5,339.75,16.9,8.79
133,True,117,117,1.0,117,33480.25,322.75,6.96,3.44
133,True,176,117,1.5,176,34722.75,306.25,3.51,8.38
133,True,234,117,2.0,234,30475.5,301.25,15.31,9.87
134,True,97,97,1.0,97,26956.0,231.5,8.84,7.4
134,True,146,97,1.5,146,21570.5,219.5,27.05,12.2
134,True,194,97,2.0,194,23008.25,214.0,22.19,14.4
135,True,120,120,1.0,120,34472.0,305.75,4.88,4.08
135,True,180,120,1.5,180,33138.0,293.0,8.56,8.08
135,True,240,120,2.0,240,32085.0,285.25,11.47,10.51
136,True,111,111,1.0,111,27177.75,269.5,12.21,7.07
136,True,167,111,1.5,167,26491.0,254.25,14.43,12.33
136,True,222,111,2.0,222,23294.25,248.75,24.76,14.22
137,True,110,110,1.0,110,29752.25,258.75,-0.26,2.45
137,True,165,110,1.5,163,24127.75,252.5,18.69,4.81
137,True,220,110,2.0,220,23667.25,240.5,20.24,9.33
138,True,103,103,1.0,103,49012.75,361.5,-2.04,2.76
138,True,155,103,1.5,155,39190.5,352.0,18.41,5.31
138,True,206,103,2.0,206,34405.75,340.25,28.37,8.47
139,True,114,114,1.0,114,40242.25,328.0,11.48,2.53
139,True,171,114,1.5,171,36550.25,317.75,19.6,5.57
139,True,228,114,2.0,228,33200.0,309.25,26.97,8.1
140,True,89,89,1.0,89,47889.25,297.25,3.98,0.5
140,True,134,89,1.5,134,32061.5,290.0,35.71,2.93
140,True,178,89,2.0,178,31709.75,275.0,36.42,7.95
141,True,105,105,1.0,105,31189.5,250.0,9.31,4.12
141,True,158,105,1.5,158,22368.25,238.75,34.96,8.44
141,True,210,105,2.0,210,21912.25,234.25,36.28,10.16
142,True,100,100,1.0,100,39593.0,317.5,5.44,2.53
142,True,150,100,1.5,150,31253.75,301.0,25.35,7.6
142,True,200,100,2.0,200,29994.25,292.5,28.36,10.21
143,True,121,121,1.0,121,34072.0,315.25,7.44,1.64
143,True,182,121,1.5,182,31261.0,296.75,15.08,7.41
143,True,242,121,2.0,242,29339.5,291.75,20.3,8.97
